game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787008741,2.0,6,0,0,0,1,0,0,1,Sephiroth1
787008726,81.85,7,1,1,1,0,0,1,0,hotshothotgg
787008652,6.18,6,1,0,0,1,0,0,1,IlxxxlI
787008651,12.35,6,1,0,0,1,0,0,1,IbetUmuck
787008526,12.05,5,1,1,1,1,0,1,0,IlxxxlI
787008516,2.0,6,0,0,0,0,0,0,0,DonCesarGrinder
787008482,4.0,7,0,0,0,1,0,0,1,thimk
787008454,1.25,6,0,0,0,1,0,0,1,IlxxxlI
787008395,2.5,6,0,0,0,1,0,0,1,Sephiroth1
787008351,2.5,5,0,0,0,1,0,0,1,MadLifeGrinder
787008264,9.98,6,1,1,1,1,0,1,0,Sephiroth1
787008233,5.0,7,0,0,0,1,0,0,1,pineapplesand
787008222,6.18,8,1,1,1,1,0,1,0,dankmann
787008210,2.5,6,0,0,0,1,0,0,1,ElvenEyes
787008158,1.25,6,0,0,0,1,0,0,1,WeakAndWeary
787008073,18.53,6,1,1,0,1,0,0,1,IlxxxlI
787008071,1.0,6,0,0,0,0,0,0,0,LloydXmas
787008050,4.0,7,0,0,0,1,0,0,1,VegetablesArentYummy
787007972,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787007916,9.03,5,1,0,0,1,0,0,1,Beep_Beep
787007865,2.5,6,0,0,0,1,0,0,1,WeakAndWeary
787007858,2.5,8,0,0,0,1,0,0,1,gust
787007844,5.0,6,0,0,0,1,0,0,1,LloydXmas
787007841,1.25,6,0,0,0,1,0,0,1,imger8
787007698,6.66,6,0,0,0,1,0,0,1,IlxxxlI
787007647,2.5,8,0,0,0,1,0,0,1,VegetablesArentYummy
787007619,1.0,6,0,0,0,0,0,0,0,WeakAndWeary
787007549,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787007471,4.28,5,1,1,0,1,0,0,1,Sephiroth1
787007407,2.5,8,0,0,0,1,0,0,1,StephCurry
787007391,2.0,6,0,0,0,1,0,0,1,ElvenEyes
787007368,7.6,8,1,1,0,1,0,0,1,VegetablesArentYummy
787007268,16.04,6,1,1,1,1,0,1,0,foreseen
787007194,2.0,8,0,0,0,0,0,0,0,hotshothotgg
787007179,1.9,6,1,0,0,0,0,0,1,WeakAndWeary
787007167,2.5,6,0,0,0,1,0,0,1,gust
787007048,17.1,6,1,1,1,1,0,1,0,LloydXmas
787006994,5.7,5,1,1,0,1,0,0,1,IlxxxlI
787006955,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787006935,2.5,8,0,0,0,1,0,0,1,pineapplesand
787006907,2.0,6,0,0,0,0,0,0,0,LloydXmas
787006740,2.5,6,0,0,0,1,0,0,1,MadLifeGrinder
787006683,4.28,6,1,1,0,1,0,0,1,Sephiroth1
787006584,6.65,8,1,0,0,0,0,0,1,thimk
787006504,12.59,6,1,1,0,1,0,0,1,WeakAndWeary
787006470,10.45,6,1,0,0,1,0,0,1,VegetablesArentYummy
787006429,5.7,5,1,1,0,1,0,0,1,IlxxxlI
787006391,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787006342,12.92,6,1,1,0,1,0,0,1,IlxxxlI
787006286,15.0,8,0,0,0,1,0,0,1,gust
787006280,2.5,5,0,0,0,1,0,0,1,IlxxxlI
787006212,20.94,8,1,1,0,1,0,0,1,gust
787006146,12.35,6,1,0,0,1,0,0,1,IlxxxlI
787006081,2.5,6,0,0,0,1,0,0,1,LloydXmas
787006035,1.0,5,0,0,0,0,0,0,0,Sephiroth1
787006034,5.0,6,0,0,0,1,0,0,1,VegetablesArentYummy
787006007,5.0,8,0,0,0,1,0,0,1,VegetablesArentYummy
787005990,1.0,6,0,0,0,0,0,0,0,Sephiroth1
787005986,3.09,6,1,0,0,1,0,0,1,imger8
787005801,2.0,8,0,0,0,0,0,0,0,thimk
787005767,5.0,6,0,0,0,1,0,0,1,LloydXmas
787005738,2.5,5,0,0,0,1,0,0,1,IlxxxlI
787005653,4.28,8,1,0,0,1,0,0,1,gust
787005581,1.25,6,0,0,0,1,0,0,1,imger8
787005572,2.0,6,0,0,0,0,0,0,0,VegetablesArentYummy
787005539,6.18,6,1,1,0,1,0,0,1,ElvenEyes
787005502,2.5,5,0,0,0,1,0,0,1,Beep_Beep
787005258,2.75,3,0,0,0,1,0,0,1,foreseen
787005238,1.25,6,0,0,0,1,0,0,1,imger8
787005190,31.92,6,1,1,1,1,0,1,0,MadLifeGrinder
787005155,80.5,5,1,1,1,1,0,1,0,Sephiroth1
787005049,18.34,8,1,1,1,1,0,1,0,ElvenEyes
787005047,1.0,5,0,0,0,0,0,0,0,Beep_Beep
787005025,0.5,6,0,0,0,0,0,0,0,foreseen
787004994,1.9,6,1,0,0,0,0,0,1,IlxxxlI
787004970,19.95,8,1,1,0,0,0,0,1,actionjax24
787004839,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787004756,44.46,6,1,1,1,1,0,0,1,MadLifeGrinder
787004753,2.0,5,0,0,0,1,0,0,1,MadLifeGrinder
787004740,4.84,3,1,0,0,1,0,0,1,IlxxxlI
787004652,2.5,6,0,0,0,1,0,0,1,ElvenEyes
787004553,1.0,4,0,0,0,1,0,0,1,Jui
787004481,7.5,8,0,0,0,1,0,0,1,ElvenEyes
787004456,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787004361,6.18,6,1,1,1,1,0,0,1,BiGFck
787004204,13.5,6,0,0,0,1,0,0,1,DonCesarGrinder
787004186,42.85,6,1,1,1,1,0,1,0,WeakAndWeary
787004176,1.0,8,0,0,0,0,0,0,0,StephCurry
787004138,26.6,9,1,0,0,1,0,0,1,VegetablesArentYummy
787004135,0.5,4,0,0,0,0,0,0,0,Jui
787004023,10.19,6,1,1,1,1,0,0,1,ElvenEyes
787003937,2.0,8,0,0,0,1,0,0,1,zboiii
787003934,1.25,4,0,0,0,1,0,0,1,Parcker
787003914,1.0,6,0,0,0,0,0,0,0,ElvenEyes
787003907,15.88,6,1,1,1,1,0,1,0,xROCKETMANx
787003900,2.38,6,1,0,0,1,0,0,1,WeakAndWeary
787003823,17.56,6,1,1,1,1,0,1,0,Sephiroth1
787003791,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787003771,1.25,4,0,0,0,1,0,0,1,Beep_Beep
787003705,24.55,6,1,0,0,1,0,0,1,DonCesarGrinder
787003641,2.5,5,0,0,0,1,0,0,1,MadLifeGrinder
787003598,2.5,8,0,0,0,1,0,0,1,gust
787003595,2.5,6,0,0,0,1,0,0,1,Sephiroth1
787003460,2.5,4,0,0,0,1,0,0,1,Parcker
787003436,13.0,6,0,0,0,1,0,0,1,LloydXmas
787003427,2.0,5,0,0,0,1,0,0,1,Sephiroth1
787003406,2.5,6,0,0,0,1,0,0,1,Sephiroth1
787003389,25.65,9,1,1,1,1,0,0,1,thimk
787003360,8.09,6,1,1,0,1,0,0,1,IlxxxlI
787003361,17.13,6,1,1,0,1,0,0,1,IampokerKidd
787003283,7.5,8,0,0,0,1,0,0,1,pineapplesand
787003198,0.5,4,0,0,0,0,0,0,0,Parcker
787003180,0.5,6,0,0,0,0,0,0,0,WeakAndWeary
787003161,2.5,5,0,0,0,1,0,0,1,Beep_Beep
787003155,5.23,6,1,1,0,1,0,0,1,IlxxxlI
787003109,2.5,6,0,0,0,1,0,0,1,LloydXmas
787003066,1.0,8,0,0,0,0,0,0,0,dankmann
787003032,1.0,5,0,0,0,0,0,0,0,MadLifeGrinder
